anonId,ContactID,EmailAddress,,,,,
3e8f6d4626336ae23d57c6f4fc8235f8,0014T000006uYBBQA2,vivigreen@gmail.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""vivigreen@gmail.com"", ""anonId"": ""3e8f6d4626336ae23d57c6f4fc8235f8"", ""contactId"": ""0014T000006uYBBQA2""},"
d8e55309319e4a2c88f970f9f964a250,00ba790008c0bb4bdf,eroberge.10000.0001@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""eroberge.10000.0001@hotmail.marketingclouddemo.com"", ""anonId"": ""d8e55309319e4a2c88f970f9f964a250"", ""contactId"": ""00ba790008c0bb4bdf""},"
bc09f9b9e2915b93c16cf60f191b96f1,008c279e10a01949a8,dcastellanos.10000.0002@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""dcastellanos.10000.0002@yahoo.marketingclouddemo.com"", ""anonId"": ""bc09f9b9e2915b93c16cf60f191b96f1"", ""contactId"": ""008c279e10a01949a8""},"
bc1c3006444512c2b785ebdbede8e097,002016d0710ede47c0,mshepherd.10000.0003@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""mshepherd.10000.0003@yahoo.marketingclouddemo.com"", ""anonId"": ""bc1c3006444512c2b785ebdbede8e097"", ""contactId"": ""002016d0710ede47c0""},"
4f41e31aefa30ec179b793a5dc75852d,003cc615fe948742cc,lsantos.10000.0004@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""lsantos.10000.0004@gmail.marketingclouddemo.com"", ""anonId"": ""4f41e31aefa30ec179b793a5dc75852d"", ""contactId"": ""003cc615fe948742cc""},"
9ad704278c8109db018805760996f621,004e6df7ad208c4851,blafleur.10000.0005@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""blafleur.10000.0005@gmail.marketingclouddemo.com"", ""anonId"": ""9ad704278c8109db018805760996f621"", ""contactId"": ""004e6df7ad208c4851""},"
a46e3f830053e217029a2031acc1b96f,00cce55a590ea94ed5,mkelley.10000.0006@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""mkelley.10000.0006@hotmail.marketingclouddemo.com"", ""anonId"": ""a46e3f830053e217029a2031acc1b96f"", ""contactId"": ""00cce55a590ea94ed5""},"
92d0c833ffc3b9c289fe08d4cfdb23f5,00a4d8dddc690147b1,mgalindo.10000.0007@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""mgalindo.10000.0007@hotmail.marketingclouddemo.com"", ""anonId"": ""92d0c833ffc3b9c289fe08d4cfdb23f5"", ""contactId"": ""00a4d8dddc690147b1""},"
8117ebb1ad8d4e94e5fa3f8bfaa35602,0015dff9ba85a448c2,eferrell.10000.0008@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""eferrell.10000.0008@hotmail.marketingclouddemo.com"", ""anonId"": ""8117ebb1ad8d4e94e5fa3f8bfaa35602"", ""contactId"": ""0015dff9ba85a448c2""},"
925707bcd7f60fa159280196af9c7bf6,00fb00bb08ba29479e,jdrummond.10000.0009@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""jdrummond.10000.0009@gmail.marketingclouddemo.com"", ""anonId"": ""925707bcd7f60fa159280196af9c7bf6"", ""contactId"": ""00fb00bb08ba29479e""},"
24ccca408c09192bb57ce9e4d9338399,0041ab5182691c4239,nluther.10000.0010@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""nluther.10000.0010@gmail.marketingclouddemo.com"", ""anonId"": ""24ccca408c09192bb57ce9e4d9338399"", ""contactId"": ""0041ab5182691c4239""},"
7d081752c2fe5d2b31e3c6f23c0c68c5,00b46430b10115425d,fbearden.10000.0011@comcast.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""fbearden.10000.0011@comcast.marketingclouddemo.com"", ""anonId"": ""7d081752c2fe5d2b31e3c6f23c0c68c5"", ""contactId"": ""00b46430b10115425d""},"
9d5061dd3d70a31bf32bdf852e79a1b2,004b806d6417734c77,bplante.10000.0012@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""bplante.10000.0012@gmail.marketingclouddemo.com"", ""anonId"": ""9d5061dd3d70a31bf32bdf852e79a1b2"", ""contactId"": ""004b806d6417734c77""},"
0376164bbb137735b8b5d0b2651c0b6e,008714f78f20bf4bff,dfrazer.10000.0013@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""dfrazer.10000.0013@gmail.marketingclouddemo.com"", ""anonId"": ""0376164bbb137735b8b5d0b2651c0b6e"", ""contactId"": ""008714f78f20bf4bff""},"
7f68a2d9427f36239e4ca9922a9bce51,0065a071a0ffe84386,dhooper.10000.0014@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""dhooper.10000.0014@hotmail.marketingclouddemo.com"", ""anonId"": ""7f68a2d9427f36239e4ca9922a9bce51"", ""contactId"": ""0065a071a0ffe84386""},"
d1c84fea13f714887689d5b8c7e54caf,00e3caee549b5e496e,clee.10000.0015@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""clee.10000.0015@hotmail.marketingclouddemo.com"", ""anonId"": ""d1c84fea13f714887689d5b8c7e54caf"", ""contactId"": ""00e3caee549b5e496e""},"
158e2696934e1bdb93cadbf8816eadaa,00be7563ba3c6d44d4,gscanlon.10000.0016@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""gscanlon.10000.0016@yahoo.marketingclouddemo.com"", ""anonId"": ""158e2696934e1bdb93cadbf8816eadaa"", ""contactId"": ""00be7563ba3c6d44d4""},"
2bbd474a03c570811b32f76d32744b5b,002f02d16d483c426f,jhobson.10000.0017@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""jhobson.10000.0017@gmail.marketingclouddemo.com"", ""anonId"": ""2bbd474a03c570811b32f76d32744b5b"", ""contactId"": ""002f02d16d483c426f""},"
b11f93e683a0b90bd258b53f5221d75c,00d2b0f9d422c644fd,cskaggs.10000.0018@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""cskaggs.10000.0018@gmail.marketingclouddemo.com"", ""anonId"": ""b11f93e683a0b90bd258b53f5221d75c"", ""contactId"": ""00d2b0f9d422c644fd""},"
2fe01bf17eb7ad3e7a4a4f3c36c1718d,000de7acf999e542e9,fgreco.10000.0019@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""fgreco.10000.0019@gmail.marketingclouddemo.com"", ""anonId"": ""2fe01bf17eb7ad3e7a4a4f3c36c1718d"", ""contactId"": ""000de7acf999e542e9""},"
2151c7e7c527aa59e01c9dbdcb43f51e,0059c5224444464be4,alindsay.10000.0020@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""alindsay.10000.0020@hotmail.marketingclouddemo.com"", ""anonId"": ""2151c7e7c527aa59e01c9dbdcb43f51e"", ""contactId"": ""0059c5224444464be4""},"
805f32cf45c30bf0144697b9738a18a9,0086383b1f26dc4ec7,dsimms.10000.0021@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""dsimms.10000.0021@yahoo.marketingclouddemo.com"", ""anonId"": ""805f32cf45c30bf0144697b9738a18a9"", ""contactId"": ""0086383b1f26dc4ec7""},"
f73be7ebed616f2484ddf5df2d1723a6,003b46d2b1dd944f91,rgriggs.10000.0022@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""rgriggs.10000.0022@hotmail.marketingclouddemo.com"", ""anonId"": ""f73be7ebed616f2484ddf5df2d1723a6"", ""contactId"": ""003b46d2b1dd944f91""},"
16438e9023fb030a7b95720c79e2d6eb,00df88d64285384abe,eyarbrough.10000.0023@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""eyarbrough.10000.0023@yahoo.marketingclouddemo.com"", ""anonId"": ""16438e9023fb030a7b95720c79e2d6eb"", ""contactId"": ""00df88d64285384abe""},"
e92c23b9b0cfee6e7aca354aefd68694,00014c93071afc4cad,thopkins.10000.0024@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""thopkins.10000.0024@hotmail.marketingclouddemo.com"", ""anonId"": ""e92c23b9b0cfee6e7aca354aefd68694"", ""contactId"": ""00014c93071afc4cad""},"
b0091797be89480108b61265bd6a2aa0,00940aed37d84340e4,dcupp.10000.0025@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""dcupp.10000.0025@gmail.marketingclouddemo.com"", ""anonId"": ""b0091797be89480108b61265bd6a2aa0"", ""contactId"": ""00940aed37d84340e4""},"
97bd6181cae4161bb00796a2057e80ca,00eeb24918b2124b1d,aquiroz.10000.0026@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""aquiroz.10000.0026@gmail.marketingclouddemo.com"", ""anonId"": ""97bd6181cae4161bb00796a2057e80ca"", ""contactId"": ""00eeb24918b2124b1d""},"
5348ee41b942f8001b8f41068502aa37,003a509c011e8349a6,whancock.10000.0027@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""whancock.10000.0027@gmail.marketingclouddemo.com"", ""anonId"": ""5348ee41b942f8001b8f41068502aa37"", ""contactId"": ""003a509c011e8349a6""},"
81aa714c854167906cf2159c8cfae4c2,0090127da8dcce49fb,mjohn.10000.0028@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""mjohn.10000.0028@yahoo.marketingclouddemo.com"", ""anonId"": ""81aa714c854167906cf2159c8cfae4c2"", ""contactId"": ""0090127da8dcce49fb""},"
6b9c388f7a24615accf4df56c4b91f92,006302c535377c45b8,psaylor.10000.0029@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""psaylor.10000.0029@hotmail.marketingclouddemo.com"", ""anonId"": ""6b9c388f7a24615accf4df56c4b91f92"", ""contactId"": ""006302c535377c45b8""},"
f97f5114089b25434f810707c5c976ca,00c6e962080a444a36,rmarquez.10000.0030@hotmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""rmarquez.10000.0030@hotmail.marketingclouddemo.com"", ""anonId"": ""f97f5114089b25434f810707c5c976ca"", ""contactId"": ""00c6e962080a444a36""},"
014320c8b401ca338b17168f012fd216,00a259e90404454e4c,sheadley.10000.0031@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""sheadley.10000.0031@yahoo.marketingclouddemo.com"", ""anonId"": ""014320c8b401ca338b17168f012fd216"", ""contactId"": ""00a259e90404454e4c""},"
7e7fa69a43a19d463535666949e067a8,003013e66fcce6416a,aserrano.10000.0032@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""aserrano.10000.0032@gmail.marketingclouddemo.com"", ""anonId"": ""7e7fa69a43a19d463535666949e067a8"", ""contactId"": ""003013e66fcce6416a""},"
ed2b947f0f4c2837fe9b13c200c52043,008e1e2b1237a64cb8,mdew.10000.0033@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""mdew.10000.0033@gmail.marketingclouddemo.com"", ""anonId"": ""ed2b947f0f4c2837fe9b13c200c52043"", ""contactId"": ""008e1e2b1237a64cb8""},"
ca88b52b15b12cd49ccdc4b2ae2f1cb4,00c659d5b9e9234f1b,gkearney.10000.0034@yahoo.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""gkearney.10000.0034@yahoo.marketingclouddemo.com"", ""anonId"": ""ca88b52b15b12cd49ccdc4b2ae2f1cb4"", ""contactId"": ""00c659d5b9e9234f1b""},"
566b446fb524d1d773dd93836bff3bd1,00751000f2fb5b4432,rberry.10000.0035@gmail.marketingclouddemo.com,"{""id"": """,""", ""anonId"": """,""", ""contactId"": ""","""},","{""id"": ""rberry.10000.0035@gmail.marketingclouddemo.com"", ""anonId"": ""566b446fb524d1d773dd93836bff3bd1"", ""contactId"": ""00751000f2fb5b4432""},"
